symbol,market
122640,KOSDAQ
123840,KOSDAQ
INDY,IDX
INDY,BMV
127710,KOSDAQ
CCET,EPA
CCET,BKK
IAU,NYSEARCA
IAU,TSE
L6T,SGX
3043,TYO
EVINIX,NSE
8091,TYO
NSN,LON
NGZ,NYSE
NGZ,FRA
8036,TYO
TYCN,BKK
SXE,INDEXVIE
1304,TADAWUL
1317,TYO
1319,TYO
8133,TYO
1330,TYO
1330,TADAWUL
133750,KOSDAQ
133820,KRX
134580,KOSDAQ
1347,TYO
1353,HKG
1365,TYO
138080,KOSDAQ
1381,TYO
138250,KRX
138360,KOSDAQ
1384,TYO
1397,TYO
8208,TYO
CBIP,KLSE
GCN,WSE
MULPHA,KLSE
2668,TYO
VNM,NYSEARCA
VNM,BMV
RICY,IDX
ESME,BCBA
140520,KOSDAQ
140860,KOSDAQ
1418,TYO
1419,TYO
2722,TYO
142280,KOSDAQ
1430,TYO
1433,TYO
143540,KOSDAQ
1439,TYO
SYNEX,BKK
1440,TYO
144510,KOSDAQ
144960,KOSDAQ
4145,HKG
145210,KRX
1456,TYO
147760,KOSDAQ
1478,TYO
148250,KOSDAQ
1486,TYO
149980,KOSDAQ
3FR,FRA
532339,BOM
2750,TYO
2750,INDEXDB
STIL,EPA
8395,TYO
8395,HKG
8085,TYO
JIGI,LON
3562,TYO
502374,BOM
4151,TYO
4151,HKG
152330,KRX
1548,TYO
1565,TYO
1579,TYO
1585,TYO
1586,TYO
1588,TYO
1589,TYO
1592,TYO
1598,TYO
1599,TYO
BRNA,IDX
SPH,ASX
8059,TYO
IAIC,OTCMKTS
8165,TYO
BRKN,SWX
1201,TADAWUL
TRV,LON
TRV,SWX
BOLSAA,BMV
160550,KOSDAQ
160600,KOSDAQ
160980,KOSDAQ
1617,TYO
161000,KRX
1612,TYO
161570,KOSDAQ
1619,HKG
1619,TYO
1622,TYO
163560,KRX
166480,KOSDAQ
1678,TYO
2909,HKG
SZPR,MCX
SAFC,OTCMKTS
101160,KOSDAQ
OCO,FRA
AKR,BKK
2428,TYO
2898,TYO
4528,TYO
173940,KOSDAQ
175140,KOSDAQ
176440,KOSDAQ
177350,KOSDAQ
178320,KOSDAQ
178780,KOSDAQ
178920,KOSDAQ
CQT,FRA
MGO,TSE
MMC,FRA
MMC,ASX
MMC,BCBA
PAS,MCE
CUS,TSE
SPHC,OTCMKTS
8178,TYO
8226,TYO
KSK,CVE
TRUX,OTCMKTS
BIND,VIE
1811,TYO
1820,TYO
1820,TADAWUL
182360,KOSDAQ
182400,KOSDAQ
183300,KOSDAQ
591,SGX
184230,KOSDAQ
1848,TYO
187220,KOSDAQ
187420,KOSDAQ
187790,KOSDAQ
189690,KOSDAQ
189860,KOSDAQ
189980,KOSDAQ
MRKK,MCX
AXIS,STO
5CP,SGX
505036,BOM
NCA,CVE
190510,KOSDAQ
191420,KOSDAQ
192080,KOSDAQ
192250,KOSDAQ
192390,KOSDAQ
192400,KRX
192520,KRX
192820,KRX
193250,KOSDAQ
194370,KRX
194480,KOSDAQ
194610,KOSDAQ
195440,KOSDAQ
195990,KOSDAQ
196170,KOSDAQ
196700,KOSDAQ
1980,TYO
1982,TYO
UKX,INDEXFTSE
BSI,TLV
2309,TYO
SPDE,OTCMKTS
6269,TYO
XAO,INDEXASX
XAO,INDEXNYSEGIS
IOFDA,ASX
8895,TYO
ACOM,NASDAQ
ACOM,STO
APN,JSE
APN,NZE
RWD,WSE
IPRU,LON
7823,TYO
2139,TYO
3071,TYO
3837,TYO
BUE,ASX
BUE,ETR
BUE,FRA
BMPS,SWX
BMPS,BIT
BFC,CVE
MTH,BIT
BION,SWX
BSP,NYSE
CLP,NYSE
CLP,CURRENCY
CLP,EPA
BVB,SWX
BWI,JSE
COLE,NYSE
1883,TYO
MAYA,IDX
MAYA,FRA
CEW3,ETR
CEW3,FRA
CSO,INDEXNYSEGIS
COTT,EPA
CIW,FRA
CNASIA,KLSE
CMD,NYSEARCA
CHL,LON
CRU,NYSE
1723,TYO
CEV,NYSEMKT
CEV,SWX
HREN,SWX
CASS,IDX
VRNA,IDX
3235,TYO
3236,TYO
3827,TYO
3829,TYO
6258,TYO
N0Z,SGX
FVI,NYSEARCA
FVI,SWX
HNL,CURRENCY
506414,BOM
FEES,MCX
LOI,FRA
DE1,ETR
DE1,FRA
DNI,CVE
DNI,FRA
LSL,TSE
LSL,CURRENCY
8928,TYO
SAX,SWX
DVEC,MCX
TAVHL,IST
THI,EBR
3063,TYO
ECS,CNSX
ECS,JSE
ECS,KLSE
E18,SGX
3825,TYO
6163,TYO
3234,TYO
3826,TYO
2134,TYO
3064,TYO
ESY,CNSX
EDARAN,KLSE
WIG,WSE
MYR,CURRENCY
ERE,LON
ASX,INDEXFTSE
E02,SGX
ASAM,VIE
6259,TYO
7312,TYO
3060,TYO
3060,TADAWUL
3061,TPE
FCT,FRA
NMG,BKK
HSI,INDEXHANGSENG
SFX,ETR
IXP,NYSEARCA
IXP,BMV
XPP,NYSEARCA
ITSC,INDEXFTSE
ITSC,INDEXBIT
IIN,ASX
F12,SGX
CEE,SGX
GFK,SWX
TRK,WSE
E5H,SGX
ATEL,OTCMKTS
GMB,FRA
GNV,ASX
100220,KRX
S92,SWX
RIA,EPA
GTS,LON
GTL,FRA
532989,BOM
KLG,TSE
KLG,ASX
5227,KLSE
INAR,OTCMKTS
INAR,INDEXDB
HCI,JSE
HCI,FRA
BBP,SGX
HMV,INDEXNYSEGIS
D3W,SGX
D3W,FRA
HWSA,ETR
INOX,BKK
IDBH,TLV
RUSP,MCX
IAS,INDEXEURO
IAS,INDEXTYO
FAO2,ETR
FAO2,FRA
AAK,STO
AAK,ASX
AAK,FRA
IWL,NYSEARCA
RYT,NYSEARCA
ESJ,FRA
7030,TADAWUL
HOO,ETR
2260,TADAWUL
JAZ,BME
JAZ,FRA
AWSL,OTCMKTS
532995,BOM
5233,TYO
D5N,FRA
D5N,SGX
REMO,OTCBB
BSPB,OTCBB
BSPB,MCX
BSPBP,MCX
PREB,BKK
ASTL,INDEXFTSE
ENDV,LON
ENDV,OTCMKTS
MRKY,MCX
745,FRA
LTC,LON
LTC,FRA
101670,KOSDAQ
MVV,NYSEARCA
MGN,NYSEMKT
532992,BOM
B2F,SGX
MCF,NYSEMKT
MCF,CNSX
MCF,FRA
A04,SGX
MML,LON
MML,JSE
CZD,FRA
PNV,FRA
DSI,NYSEARCA
MRT,FRA
POY,FRA
ALH,JSE
PRIMOF,CPH
IPO,NYSEARCA
IPO,VIE
100840,KRX
UNVR,IDX
3591,TYO
ENEL,SWX
ENEL,INDEXFTSE
AXA,CNSX
A65N,FRA
N01,SGX
INP,NYSEARCA
ORMT,TLV
GCLA,BCBA
2264,TYO
OSH,CNSX
DGGYO,IST
2196,TYO
4343,TYO
TEMN,SWX
SIME,KLSE
C50,SGX
PUT2,ETR
PUT2,FRA
BCC,ASX
BCC,CVE
BCC,CNSX
KRE,NYSEARCA
KRE,CPH
PRN,NASDAQ
PMG,WSE
BSB,EBR
POA,FRA
PPC,JSE
PPC,BKK
PTM,NYSEARCA
ADRO,IDX
RSOX,NYSEMKT
101390,KOSDAQ
6266,TYO
