symbol,market,name,origin_name,origin_index,YahooPrice,YahooMarket,YahooPriceFile,GoogleDesc,GoogleDescFile
NAC,NYSE,Nuveen California Quality Mncpl Incm Fnd,NAC,31903,YES,NYSE,price/NYSE/NAC.csv,YES,desc/NYSE/NAC.txt
MET,NYSE,Metlife Inc,MET,31904,YES,NYSE,price/NYSE/MET.csv,YES,desc/NYSE/MET.txt
MMI,CVE,Messina Minerals Inc,MMI,31906,YES,V,price/CVE/MMI.V.csv,YES,desc/CVE/MMI.txt
MMI,NYSE,Marcus & Millichap Inc,MMI,31906,YES,NYSE,price/NYSE/MMI.csv,YES,desc/NYSE/MMI.txt
MMI,ASX,Metro Mining Ltd,MMI,31906,YES,AX,price/ASX/MMI.AX.csv,YES,desc/ASX/MMI.txt
MMI,JSE,MMI Holdings Ltd,MMI,31906,No,,,YES,desc/JSE/MMI.txt
5F4,SGX,Figtree Holdings Ltd,5F4,31911,No,,,YES,desc/SGX/5F4.txt
5F4,FRA,FIRST INVEST.BK AD SO.BW1,5F4,31911,No,,,No,
300047,SHE,Shenzhen Tianyuan Dic Infrmtn Tech CoLtd,300047,31912,YES,SZ,price/SHE/300047.SZ.csv,YES,desc/SHE/300047.txt
TIM,TSE,Timminco Limited,TIM,31913,YES,TO,price/TSE/TIM.TO.csv,YES,desc/TSE/TIM.txt
ATHI,OTCMKTS,AMERICAN TRANSPORT COM USD0.0001,ATHI,31920,No,,,No,
5IE,SGX,Lorenzo International Limited,5IE,31923,No,,,YES,desc/SGX/5IE.txt
HDIL,NSE,Housing Development & Infrastructure,HDIL,31926,YES,NS,price/NSE/HDIL.NS.csv,YES,desc/NSE/HDIL.txt
300050,SHE,Dingli Corp Ltd,300050,31927,YES,SZ,price/SHE/300050.SZ.csv,YES,desc/SHE/300050.txt
BABB,OTCMKTS,"BAB, Inc.",BABB,31933,No,,,YES,desc/OTCMKTS/BABB.txt
BABB,FRA,BK PERMATA A RP 12500,BABB,31933,YES,F,price/FRA/BABB.F.csv,No,
B73,SGX,Global Investments Limited,B73,31934,No,,,YES,desc/SGX/B73.txt
8005,HKG,Yuxing InfoTech Investment Holdings Ltd,8005,31940,YES,HK,price/HKG/8005.HK.csv,YES,desc/HKG/8005.txt
8005,TYO,Scroll Corp,8005,31940,No,,,YES,desc/TYO/8005.txt
PENIND,NSE,Pennar Industries Ltd,PENIND,31942,YES,NS,price/NSE/PENIND.NS.csv,YES,desc/NSE/PENIND.txt
AVIT,OTCMKTS,Avani International Group Inc.,AVIT,31945,No,,,YES,desc/OTCMKTS/AVIT.txt
CT1,ASX,CCP Technologies Ltd,CT1,31947,YES,AX,price/ASX/CT1.AX.csv,YES,desc/ASX/CT1.txt
CT1,FRA,"CHINA ENERGINE INT.HD-,10",CT1,31947,YES,F,price/FRA/CT1.F.csv,No,
9422,TYO,Conexio Corp,9422,31952,No,,,YES,desc/TYO/9422.txt
300044,SHE,"Shenzhen Sunwin Intelligent Co.,Ltd.",300044,31955,YES,SZ,price/SHE/300044.SZ.csv,YES,desc/SHE/300044.txt
X06,SGX,Sinopipe Holdings Limited,X06,31959,No,,,YES,desc/SGX/X06.txt
526415,BOM,OK Play India Ltd,526415,31965,No,,,YES,desc/BOM/526415.txt
GGL,CVE,GGL Resources Corp,GGL,31966,YES,V,price/CVE/GGL.V.csv,YES,desc/CVE/GGL.txt
